job,scenario,pict
勇者,幼き勇者<br>勇者は、伝説の聖剣を背負い、魔王城へ続く険しい山道をひたすら歩いていた。<br>まだ十代の少年だったが、その足取りに迷いはなかった。<br>魔王となってしまった幼馴染の少女を助ける。<br>それが、彼が勇者になった理由だった。<br><br>旅の途中、小さな村に立ち寄ると、道端で重そうな荷物を抱えたおばあさんが困っていた。<br>「大丈夫ですか？　僕が持ちますよ」<br>勇者は聖剣を地面に立てかけ、何のためらいもなく荷物を背負った。<br>村人たちは彼が伝説の勇者だと知ると驚いたが、少年は照れくさそうに笑うだけだった。<br>「勇者だから助けるんじゃありません。困っている人がいたら、助けるものだと思います」<br><br>荷物を届けたあと、少年は村の子供たちに囲まれた。<br>子供の一人が聖剣を指差して、「それで魔王を倒すの？」と尋ねる。<br>少年は少し考えてから首を横に振った。<br>「ううん。僕は、魔王を倒しに行くんじゃない。大切な友達を連れ戻しに行くんだ」<br><br>その言葉を聞いた子供たちは、なぜか嬉しそうに笑った。<br>「じゃあ、絶対に帰ってきてね！」<br>「うん。約束するよ」<br><br>少年は再び聖剣を背負い、魔王城へ向かって歩き出した。<br>空はいつの間にか晴れていた。<br>どんなに遠くても、どんなに怖くても、待っている友達がいる。<br>だから少年は、今日もまっすぐ前を向いて歩いていく。<br>その背中には、伝説の聖剣よりも強い、ひとつの決意が輝いていた。,yusya.png
戦士,経歴詐称のカフェ店長<br><br>	カンッ……カンッ……。<br>	森に、日課の薪割りの音が響く。<br>	「お、もう開店の時間か」<br>	薪を割り終えると、店長は斧を置き、エプロンを身につけた。<br>	ちょうどその時、朝一番の客が店へ入ってくる。<br>	「いらっしゃい」<br>	客は――青年というには、まだ少し幼い少年だった。<br>	背中には、本人にはまだ大きすぎるほど立派な装飾の剣。<br>	いかにも、<br>	「勇者に憧れて、冒険の旅に出たばかりの少年」<br>	といった風情だ。<br>	しかし……仲間がいないのは、少々心許ないな。<br>	確か、村の冒険者紹介所は酒場と一緒になっていたはずだ。<br>	この歳じゃ、まだ酒場には入れないか。<br>	「……たしか、隣町にちゃんとした紹介所があったな」<br>	店長がそんなことを考えていると――<br>	「コーヒー牛乳を」<br>	「かしこまりました」<br>	しばらくして、注文の品を少年の前へ置く。<br>	「どうぞ」<br>	「ありがとうございます……って、え？」<br>	少年は目の前のカップと、店長の手元を交互に見る。<br>	「店長さんも飲むんですか？」<br>	「ああ。まだ他に客もいないからいいだろ」<br>	店長は自分のカップを傾ける。<br>	そして何気なく尋ねた。<br>	「……なぁ。このあと、どこに行くんだ？」<br>	「峠を越えて、隣町まで行くつもりです」<br>	少年は少しだけ不安そうに続ける。<br>	「本当は洞窟を抜けたほうが近いんですが……盗賊が出るみたいで」<br>	「ふむ……」<br>	店長は腕を組んだ。<br>	峠を越えるとなると、夜までに町へ着くかどうか。<br>	かといって、洞窟に入れば盗賊に遭遇する可能性がある。<br>	何より――。<br>	あの剣を見つけられたら、盗まれるのはほぼ確実だろう。<br>	「……よし」<br>	店長は立ち上がった。<br>	「俺も付いていこう」<br>	「え？」<br>	「図体のでかいオッサンが一人いれば、盗賊もそう簡単には手を出してこないだろ」<br>	「そ、そんな……悪いですよ」<br>	「いいって」<br>	店長は出かける準備を始める。<br>	「どうせそろそろ仕入れに行くつもりだったんだ。洞窟を抜けたほうが俺も楽だしな」<br>	「はあ……」<br>	少年はまだ戸惑っている。<br>	この時、少年は知らなかった。<br>	目の前の男性が、かつて「剣聖」とまで謳われた、元騎士団副団長であることを。<br>	男性もまた、知らなかった。<br>	目の前の少年が――<br>	最強最高と呼ばれる聖剣を抜いた「伝説の勇者」であることを。<br>	そして二人は、まだ知らなかった。<br>	「隣町まで」<br>	そう思って始めた小さな旅が――<br>	やがて世界を巻き込む、壮大な冒険の始まりになることを。<br>	「……よし、行くか」<br>	「はい！」<br>	二人が店を出ようとした、その時だった。<br>	『――荷物持ちに丁度良いな』<br>	店長が驚く。<br>	「げっ！剣が喋った！？」<br>	『失礼な。私は由緒正しき聖剣だぞ』<br>	「いや、そういう問題じゃないだろ！！」,senshi.png
魔法使い,元女盗賊団団長<br>生まれた頃のかすかな記憶。たしか家は裕福だったと思う。<br>殺し屋が来るまでは。<br>私は標的ではなかったのだろう、殺し屋の気まぐれで私は殺し屋と暮らすが<br>この殺し屋も強くはなかった。すぐに盗賊団に襲われ、私はその盗賊団に加えられた。<br>今思えば、団結力のかけらもない酷い集団だった。<br>裏切者が賊の財産を盗んで消えるなんてしょっちゅう。<br>それは私が団長に担ぎ上げれてからも止まらなかった。<br>私にとって人間は2種類しかいない。<br>裏切って罪悪感を抱えて生きるか、<br>裏切って開き直って生きるか。<br><br>最後には賊に裏切られ、私だけ捕まる羽目になった。<br>私は縛り首にあう前に逃げ出したが、<br>今は賊はどうなったか…。<br><br>あてが無くなった私を引き取ってくれた教会で、孤児の面倒を見ていた所にやってきた、<br>バカ二人(勇者と連れのオッサン?)<br>これ以上教会の世話になるのも気が引けた私はこいつらと旅に出る事にしたが…<br><br>「ねぇ、あの戦闘の時、私が裏切るって思わなかったの？」<br>「ぁあ？…そん時は、そん時だ。別にお前に裏切られても後悔ねぇよ」<br><br>私はもう少しこいつらと旅をしようと思う。<br>こいつらと風に吹かれているのは、悪くない。,masic.png
僧侶,全てを捧げた僧侶<br>誤算だった。魔王は変身の度に攻撃力が上がるとは聞いていたが、これほどとは。<br>血を拭いながら見た景色は酷いものであった。<br>盾役の戦士も、勇者も、魔法使いも絶命。後方に備えていた回復役の自分ですら重傷を負っている。<br>魔王は高らかに笑い勝利を確信している。<br>僧侶は最後の詠唱を始めた。<br>自分を犠牲に、味方全員を蘇らせる禁呪法。<br>僧侶の杖の先端に、雲の隙間から光芒が差し込む。<br>時間が止まり、大天使長が舞い降りる。<br>「そなたの詠唱、全て正しく執り行われた。ただ、3人の命を救うには、そなたの残り少ない命では不足している。そなたの魂も含め、その存在全てを費やす事となる。無論、皆がそなたを忘れる事にもなるが、それでも構わぬか？」<br>血を吐きながら僧侶は黙ってうなずいた。<br>「そうか。私からのせめてもの手向けだ。この者たちは限界以上のLv.で蘇らせよう」<br>僧侶は微笑みながら、塵となって消えた。<br>,souryo.png
射手,弓使いの兄弟<br><br>	固い――！<br>	勇者の剣ですら、ドラゴンの鱗には傷ひとつ付けられない。<br>	「くっ……！」<br>	勇者が弾き飛ばされた、その瞬間だった。<br>	ドラゴンの背後から、一人の戦士が斬りかかる。<br>	「伝説の勇者様御一行とお見受けする！」<br>	大剣を振り抜きながら、男は高らかに名乗った。<br>	「私はこの国の第一王子！　助太刀させていただきます！」<br>	「王子……！」<br>	生きていた。<br>	ああ、やはり生きていた！<br>	その眼光、その気迫。<br>	一目見ただけで、あの女王の息子だと分かる。<br>	手にした大剣には、無数の細かな刃が並んでいた。<br>	斬るための剣ではない。<br>	ドラゴンの硬い鱗を剥がすことに特化した、対ドラゴン用の大剣だった。<br>	王子が大剣を振るうたび、鱗が次々と剥がされていく。<br>	その背後には、二人の射手がいた。<br>	一人は小柄な青年。<br>	王子の攻撃によって剥がれた鱗の隙間――ほんのわずかな傷を狙う。<br>	「……そこだ！」<br>	三本の矢が、一瞬にして放たれる。<br>	そのうちの一本が、見事に傷口へ突き刺さった。<br>	「兄上！」<br>	弟の声が響く。<br>	それを合図に、もう一人の射手が動いた。<br>	大柄な男が、まるで人間が扱うものとは思えないほど巨大な弓を構える。<br>	その弓から伸びる矢は、もはや矢というより槍だった。<br>	すると、ドラゴンの体に刺さった弟の矢が、淡い光を放ち始める。<br>	呼応するように、兄の構えた巨大な矢も光り出した。<br>	「あれは……？」<br>	勇者が目を見開く。<br>	仲間の女魔法使いが分析する。<br>	「専用の誘導魔法よ。刺さった矢を的にして、同じ場所を追従攻撃するんだわ」<br>	「ぬぅんッ！」<br>	兄が弓を引き絞る。<br>	次の瞬間。<br>	巨大な矢が轟音とともに放たれた。<br>	槍のような矢は一直線に飛び、ドラゴンの身体を貫く。<br>	ズドォンッ！！<br>	巨大な身体に、大きな風穴が開いた。<br>	「すごい……！」<br>	勇者が思わず声を漏らす。<br>	その後ろでは、仲間の女性魔法使いが鼻血を流していた。<br>	「……あれ？」<br>	勇者が振り返る。<br>	「攻撃、当たってたんですか？」<br>	「うん……」<br>	魔法使いは鼻を押さえながら、うっとりと兄弟を見つめる。<br>	そして、少しだけ頬を赤らめて――<br>	「ちょっと、ストライクだった♪」<br>,archer.png
女王,籠城の女王<br><br>	目が覚めると、傷はほとんど治っていた。<br>	あのドラゴンの山の近くに、城があったのは幸運だった。<br>	「失礼いたします。お目覚めになられましたか？　朝食の準備ができております。どうぞ、こちらへ」<br>	「朝食まで……。ありがとうございます」<br>	「いえ。女王様より、客人として丁重にもてなすよう仰せつかっておりますので」<br>	メイドに案内されながら、ふと窓の外を見る。<br>	「しかし……あんな近くにドラゴンが巣を作っていては、国民も怯えているでしょう」<br>	「ええ……」<br>	メイドの表情が曇った。<br>	「先代国王様を病で亡くされてから、周辺諸国との国交も薄れてしまいまして……。今は王子様が隣国へ、ドラゴン討伐の支援を仰ぎに向かわれているのですが……」<br>	そこでメイドは言葉を濁した。<br>	「……連絡が、途絶えております」<br>	「そりゃあ……女王さんは息子さんが心配でしょうな」<br>	戦士と勇者は、窓の外へ目を向ける。<br>	「かといって、城を離れるわけにもいかんし」<br>	「……」<br>	メイドが何か言おうとした、その時だった。<br>	「ご心配には及びません」<br>	部屋の奥から、凛とした女王の声が響いた。<br>	メイドの肩がびくりと跳ねる。<br>	「も、申し訳ございません……！」<br>	「何を謝る必要がありましょう」<br>	女王は静かに続けた。<br>	「あれは、その辺でくたばるようには育てておりません」<br>	「……！」<br>	思わず戦士は息を呑んだ。<br>	なんと気高い女性なのだろう。<br>	本当は誰よりも、息子の安否が気掛かりなはずなのに。<br>	それでも女王は、決して不安を表には出さない。<br>	国民の前では、ただ毅然と立ち続ける。<br>	「……なるほど」<br>	勇者は顔を上げた。<br>	「では、僕達も頑張らなくては」<br>	「勇者様……？」<br>	「僕達がドラゴンを正面から叩きましょう」<br>	「そうすれば、きっと王子さんたちとも挟み撃ちにできます」<br>	「おお……勇者様。それは……なんとも心強いお言葉ですね」<br>	その時の勇者の言葉は、ただの気休めだったのかもしれない。<br>	王子が無事に戻ってくる保証など、どこにもなかった。<br>	ましてや、あの巨大なドラゴンを正面から相手にするなど――。<br>	しかし。<br>	まさか本当に、その言葉の通りになろうとは。<br>,queen.png
魔王,魔王<br><br>魔王城の最上階。<br>少女は一人、巨大な窓から遠くの空を眺めていた。<br><br>かつては、どこにでもいる普通の少女だった。<br>森で木の実を拾い、川辺で遊び、いつも隣には幼馴染の少年がいた。<br>彼は真面目で、少し不器用で、それでも誰より優しかった。<br>困っている人を見ると放っておけない。<br>だからきっと、今もどこかで誰かを助けているのだろう。<br><br>そんな彼女が魔王になったのは、呪いの力をその身に宿してしまったからだった。<br>魔王城を離れることはできない。<br>城の外へ一歩でも出れば、呪いが身体を蝕み、やがて命を奪う。<br>だから少女は、魔王としてここにいるしかなかった。<br><br>「……私は、魔王なんだ」<br><br>何度そう言い聞かせても、心の奥から別の声が聞こえてくる。<br><br>――迎えに来て。<br>――お願いだから、私を見つけて。<br><br>その願いを認めることが、彼女には苦しかった。<br>魔王ならば毅然としていなければならない。<br>勇者に倒される覚悟くらい、持っていなければならない。<br>そう思うたび、胸の奥が締め付けられる。<br><br>もし彼が来たら、自分はどうするのだろう。<br>剣を向けられたら戦えるのだろうか。<br>それとも、昔のように笑ってしまうのだろうか。<br><br>「……ばか」<br><br>少女は小さく呟いた。<br>「来るわけ、ないじゃない……」<br><br>その目から、一粒だけ涙が落ちた。<br><br>その時だった。<br>遠く、城の入口から微かな音が響く。<br>重い扉が開く音。<br>そして、聞き慣れた声。<br><br>「……来たよ」<br><br>少女の瞳が、大きく見開かれた。<br>ずっと待っていた声だった。,maou.png
闇の戦士,闇の戦士<br><br>魔王城には、誰よりも魔王の近くに仕える一人の戦士がいる。<br>漆黒の鎧を身にまとい、魔族の最高位に連なる大貴族。<br>その実力と血筋から、彼を恐れぬ魔族はいない。<br>人間からは「闇の戦士」と呼ばれ、魔族からは畏敬を込めてその名を呼ばれている。<br><br>しかし彼だけは知っていた。<br>玉座に座る魔王が、戦いを望んでなどいないことを。<br><br>魔王が一人でいる時、ほんの少しだけ寂しそうな顔をすること。<br>遠くから聞こえる人間の音楽に、昔を懐かしむような表情をすること。<br>そして時折、誰にも聞こえない声で、誰かの名前を呟いていること。<br><br>「……勇者、か」<br><br>彼はそれ以上、何も聞かなかった。<br>魔王の過去を知る者は少ない。<br>だが、知らなくても分かることはある。<br>あの少女は、魔王になりたいわけではない。<br><br>本来なら、自分が魔王となればいい。<br>最高貴族として魔族をまとめ上げ、魔王の座を引き受ける。<br>そうすれば、あの少女をただの少女に戻せる。<br>そう考えたことは、一度や二度ではない。<br><br>だが、それはできない。<br>魔王を縛る呪いは、魔王の座そのものに結びついている。<br>他の者がその役目を引き受けることも、少女を城から連れ出すことも許さない。<br>無理に抗えば、少女の命が失われる。<br><br>だから彼は、ただ側にいる。<br>魔王が眠れない夜には何も言わずに灯りを残し、食事を取らない日にはさりげなく好物を用意する。<br>人間との戦いを望まない命令が出れば、反対する者たちを自分が黙らせる。<br><br>「陛下。どうか、もう少しだけお待ちください」<br><br>少女は何も答えない。<br>ただ、窓の外を見つめている。<br><br>闇の戦士は跪き、静かに頭を下げた。<br>自分が魔王になれなくても構わない。<br>せめて、あの少女が少女に戻れるその日まで。<br>この命も、この名も、この闇も、すべて盾にする。<br><br>やがて魔王城に勇者が現れた時、最初に彼が剣を抜いた。<br>「ここから先へ進みたければ、私を越えていけ」<br><br>それは敵としての言葉ではなかった。<br>少女を救える男なのか――最後に確かめるための、側近としての試練だった。,yamisenshi.png
闇の魔法使い,闇の魔法使い<br><br>魔王城には、闇の戦士と並んで強大な権力を持つ魔族がいる。<br>それが闇の魔法使いだ。<br><br>彼は生まれながらの大貴族ではなかった。<br>低い身分から魔法の才能だけを頼りに成り上がり、禁忌とされる魔術にも手を染め、敵も味方も利用して現在の地位を手に入れた。<br>目的のためなら手段を選ばない。<br>約束を破り、仲間を裏切り、弱者を踏みつけることにも一切のためらいがなかった。<br><br>「勝てば正義。負ければ愚か者。それだけの話でしょう？」<br><br>彼にとって魔王への忠誠も、魔族の未来も、どうでもよかった。<br>魔王の側近という地位を利用し、自分が魔族の頂点に立つこと。<br>それだけが彼の望みだった。<br><br>そしてついに、勇者たちが魔王城へ乗り込んできた。<br>闇の戦士が勇者の前に立ちはだかる一方、闇の魔法使いも強大な魔法を次々と放った。<br>だが、勇者たちは倒れない。<br>仲間たちは互いを支え、傷つきながらも一歩ずつ前へ進んでくる。<br><br>「ば、馬鹿な……！　この私が……こんな連中に……！」<br><br>追い詰められた闇の魔法使いは、とうとう戦うことをやめた。<br>隠し持っていた転移魔法を発動させ、逃げ出そうとする。<br><br>「魔王様！　私はここまで十分にお仕えしました！　どうか私を――」<br><br>その瞬間、魔法陣が消えた。<br><br>「……え？」<br><br>玉座に座っていた魔王が、静かに手を上げている。<br><br>「私のために戦えとは言わない」<br>「ですが……」<br>「それでも、仲間を置いて逃げる者を側近とは呼ばない」<br><br>闇の魔法使いの身体を、黒い炎が包み込む。<br>悲鳴が響き、そして静かになった。<br><br>闇の戦士は何も言わなかった。<br>ただ一度だけ、魔王を見つめる。<br><br>玉座の少女は俯いていた。<br>その表情には、怒りよりも悲しみがあった。<br><br>「……もう、誰も傷つけたくないのに」<br><br>その呟きは、誰にも届かなかった。,yamimasic.png
村人,村人<br><br>俺は、ただの村人だ。<br>剣も使えない。魔法も使えない。<br>特別な血筋でもなければ、何かの才能があるわけでもない。<br><br>朝になれば畑へ行き、昼になれば飯を食い、夕方になれば家に帰る。<br>雨が降れば仕事が減って喜び、晴れが続けば作物の心配をする。<br>隣の家の夫婦喧嘩を聞いて笑い、祭りの日には酒を飲む。<br>そんな毎日だ。<br><br>勇者が村を訪れた時も、俺は遠巻きに見ていただけだった。<br>伝説の聖剣を背負った少年。<br>その仲間には凄腕の戦士や魔法使いもいるらしい。<br>俺とは何もかも違う人たちだ。<br><br>「魔王を倒しに行くんだってよ」<br>「へぇ……大変だな」<br>それくらいしか言葉が出なかった。<br><br>やがて勇者たちは村を出ていった。<br>俺はいつものように畑へ戻った。<br><br>それからしばらくして、魔王軍が近くまで来たという噂が流れた。<br>村は騒ぎになった。<br>逃げる人もいた。戦うと言い出す人もいた。<br>俺はどうしていいか分からなかった。<br><br>結局、俺はいつも通り畑に出た。<br>怖かったからだ。<br>でも、今日食べるものが必要だった。<br>明日も生きていたかった。<br><br>そして数年後。<br>魔王が倒されたという知らせが届いた。<br>村では大きな宴が開かれた。<br>勇者が世界を救ったのだと、皆が喜んだ。<br><br>俺は酒を飲みながら空を見上げた。<br><br>「そっか……終わったのか」<br><br>次の日も、朝は来た。<br>畑には昨日と同じように土があり、鳥が鳴いている。<br>俺は鍬を持って、いつもの場所へ向かった。<br><br>特別なことなんて何もない。<br>きっとこれからも、たいしたことのない人生を送るのだろう。<br><br>でも、それでいい。<br>勇者が世界を救ってくれたなら、俺はこの世界で普通に生きていこう。<br>家族と飯を食って、働いて、笑って、時々くだらないことで喧嘩して。<br><br>英雄が命を懸けて守った世界で、英雄ではない俺たちが普通に暮らしていく。<br>もしかしたら、それこそが勇者たちの望んだ未来なのかもしれない。<br><br>「さて……今日も仕事するか」<br><br>俺はいつものように鍬を振り下ろした。<br>平凡な一日が、今日も始まった。,murabito.png
